X,Y,OBJECTID,NAME,State,Jurisdiction,LINE,Year,Parking,Network_Node,WEB_URL
-76.97717964177653,38.886723823451725,81,Stadium-Armory,District of Columbia,District of Columbia,"Blue, Orange, Silver",1977,Y,8075,https://www.wmata.com/rider-guide/stations/stadium-armory.cfm?y=35
-76.995952941646053,38.921080008110195,82,Rhode Island Ave-Brentwood,District of Columbia,District of Columbia,Red,1976,Y,8019,https://www.wmata.com/rider-guide/stations/rhode-island-ave.cfm?y=35
-76.946752266835631,38.899206801643921,83,Minnesota Ave,District of Columbia,District of Columbia,Orange,1978,Y,8076,https://www.wmata.com/rider-guide/stations/minnesota-ave.cfm?y=35
-77.063406322753906,38.944118032484248,84,Van Ness-UDC,District of Columbia,District of Columbia,Red,1981, ,8010,https://www.wmata.com/rider-guide/stations/van-ness.cfm?y=35
-77.058720694250965,38.936060467460855,85,Cleveland Park,District of Columbia,District of Columbia,Red,1981, ,8011,https://www.wmata.com/rider-guide/stations/cleveland-park.cfm?y=35
-77.032716256869406,38.929046620225002,86,Columbia Heights,District of Columbia,District of Columbia,"Green, Yellow",1999, ,8032,https://www.wmata.com/rider-guide/stations/college-park.cfm?y=35
-77.24156271342261,38.928967411185774,87,Spring Hill,Virginia,Fairfax County,Silver,2014, ,8090,https://www.wmata.com/rider-guide/stations/spring-hill.cfm?y=35
-77.233882554374603,38.920970958254465,88,Greensboro,Virginia,Fairfax County,Silver,2014, ,8089,https://www.wmata.com/rider-guide/stations/greensboro.cfm?y=35
-77.221720391159877,38.920689836193162,89,Tysons Corner,Virginia,Fairfax County,Silver,2014, ,8088,https://www.wmata.com/rider-guide/stations/tysons-corner.cfm?y=35
-77.210083644408158,38.924537334051848,90,McLean,Virginia,Fairfax County,Silver,2014, ,8087,https://www.wmata.com/rider-guide/stations/mclean.cfm?y=35
-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
