OBJECTID,STATION,COMMENTS,COUNTY,ABPair,Sta_Dir,Motorcycles,PassCars,Buses,SUTrucks,CTrucks,TOD,TotVol,StartDate,EndDate,TimeLabel,AllTrucks,IsPerm,PickupsPanelVans,XCOORD,YCOORD
509,B180001,GOLDEN BEACH RD-.10 MI E OF POCOHONTAS DR,St Mary's County,4964249558,B180001_W,2,536,14,32,2,AM,767,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,34,,182,-76.71386845,38.49276583
510,B2977,BRADLEY BLVD-.20 MI S OF MD190,Montgomery County,2220222200,B2977_S,1,383,4,19,5,AM,482,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,24,,72,-77.18396288,39.00050778
511,B160008,OLD FORT RD-.10 MI W OF MD210,Prince George's County,2678826792,B160008_W,1,393,2,17,5,AM,477,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,22,,62,-76.99467535,38.75666987
512,B160026,KENHILL DR-.10 MI N OF MD197,Prince George's County,2752726385,B160026_S,0,958,9,24,2,AM,1140,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,26,,148,-76.74388683,38.95753029
513,B160102,OLD MARLBORO PIKE-.10 MI S OF MD4,Prince George's County,2631327891,B160102_S,0,166,4,13,9,AM,292,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,22,,101,-76.86170815,38.83557949
514,B3672,MD237-.10 MI S OF MD235,St Mary's County,4951249594,B3672_S,1,950,29,65,7,AM,1255,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,72,,204,-76.4941206,38.29007577
515,B160038,PAINT BRANCH PKWY-.20 MI S OF US1,Prince George's County,2607826094,B160038_S,2,1043,69,66,8,AM,1367,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,74,,180,-76.93310755,38.98645719
516,B160024,CHAPEL FORGE DR-.10 MI S OF OLD CHAPEL RD,Prince George's County,2753027533,B160024_S,0,164,1,7,0,AM,207,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,7,,35,-76.74461446,38.9896453
517,B3641,MD242-.50 MI S OF MD234,St Mary's County,4954049561,B3641_S,1,147,12,33,7,AM,282,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,40,,84,-76.73192811,38.32023112
518,7076,14TH ST SW between INDEPENDENCE AVE SW and C ST SW,District of Columbia,2031420326,7076_S,7,1264,55,52,20,AM,1644,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,72,P,247,-77.03195445,38.88676742
519,7072,WISCONSIN AVE NW between FULTON ST NW and GARFIELD ST NW,District of Columbia,2155720699,7072_S,2,2389,22,32,4,AM,2611,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,36,,162,-77.07318786,38.92685564
520,2203,SOUTH CAPITOL ST between SUITLAND PKWY SE and DEFENSE BLVD SW,District of Columbia,2134021365,2203_S,4,1494,30,134,19,AM,1863,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,153,,183,-77.00216282,38.86255051
521,301511,Gum Spring Rd from 53-620 Braddock Rd to US 50 John S. Mosby Hwy,Loudoun County,3839638105,301511_S,0,803,18,40,14,AM,1059,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,54,,184,-77.54453,38.92323
522,301513,Belmont Ridge Rd from 53-621 W;  Evergreen Mills Rd to 53-772 Ryan Rd,Loudoun County,3816438528,301513_S,1,1346,24,33,4,AM,1566,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,37,,160,-77.53295,38.96873
523,B160093,OLD LAUREL BOWIE RD-.10 MI S OF HILLTOP LA,Prince George's County,2639627432,B160093_S,0,185,4,14,6,AM,241,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,20,,33,-76.78539554,39.02132226
