OBJECTID_1,Join_Count,nearest_metro_distance,TARGET_FID,OBJECTID,STATION,COMMENTS,COUNTY,ABPair,Sta_Dir,Motorcycles,PassCars,Buses,SUTrucks,CTrucks,TOD,TotVol,StartDate,EndDate,TimeLabel,AllTrucks,IsPerm,PickupsPanelVans,XCOORD,YCOORD,X,Y,OBJECTID_12,NAME,State,Jurisdiction,LINE,Year,Parking,Network_Node,WEB_URL
508,1,0.045205919580117,508,508,B2963,IS270Y-.40 MI S OF DEMOCRACY BLVD,Montgomery County,2274722896.000000000000000,B2963_S,39,12207,123,475,233,AM,14906,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,708,,1829,-77.147368069999999,39.017122989999997,-77.103831844064302,39.029295589747015,41,Grosvenor-Strathmore,Maryland,Montgomery County,Red,1984,Y,8005,https://www.wmata.com/rider-guide/stations/grosvenor.cfm?y=35
509,1,0.388608132695430,509,509,B180001,GOLDEN BEACH RD-.10 MI E OF POCOHONTAS DR,St Mary's County,4964249558.000000000000000,B180001_W,2,536,14,32,2,AM,767,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,34,,182,-76.713868450000007,38.492765830000003,-76.912229442562861,38.826935243743002,73,Branch Ave,Maryland,Prince George's County,Green,2001,Y,8045,https://www.wmata.com/rider-guide/stations/branch-ave.cfm?y=35
510,1,0.080335564835185,510,510,B2977,BRADLEY BLVD-.20 MI S OF MD190,Montgomery County,2220222200.000000000000000,B2977_S,1,383,4,19,5,AM,482,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,24,,72,-77.183962879999996,39.000507780000000,-77.210083644408158,38.924537334051848,90,McLean,Virginia,Fairfax County,Silver,2014,,8087,https://www.wmata.com/rider-guide/stations/mclean.cfm?y=35
511,1,0.082476611494541,511,511,B160008,OLD FORT RD-.10 MI W OF MD210,Prince George's County,2678826792.000000000000000,B160008_W,1,393,2,17,5,AM,477,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,22,,62,-76.994675349999994,38.756669870000003,-77.053756057217640,38.814218644635183,74,Braddock Road,Virginia,Alexandria,"Blue, Yellow",1983,,8051,https://www.wmata.com/rider-guide/stations/braddock-rd.cfm?y=35
512,1,0.115644360568963,512,512,B160026,KENHILL DR-.10 MI N OF MD197,Prince George's County,2752726385.000000000000000,B160026_S,0,958,9,24,2,AM,1140,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,26,,148,-76.743886829999994,38.957530290000001,-76.844556104162351,38.900615306138342,20,Largo Town Center,Maryland,Prince George's County,"Blue, Orange, Silver",2004,Y,8086,https://www.wmata.com/rider-guide/stations/largo-town-ctr.cfm?y=35
513,1,0.051255478100375,513,513,B160102,OLD MARLBORO PIKE-.10 MI S OF MD4,Prince George's County,2631327891.000000000000000,B160102_S,0,166,4,13,9,AM,292,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,22,,101,-76.861708149999998,38.835579490000001,-76.912229442562861,38.826935243743002,73,Branch Ave,Maryland,Prince George's County,Green,2001,Y,8045,https://www.wmata.com/rider-guide/stations/branch-ave.cfm?y=35
514,1,0.680465355046318,514,514,B3672,MD237-.10 MI S OF MD235,St Mary's County,4951249594.000000000000000,B3672_S,1,950,29,65,7,AM,1255,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,72,,204,-76.494120600000002,38.290075770000001,-76.912229442562861,38.826935243743002,73,Branch Ave,Maryland,Prince George's County,Green,2001,Y,8045,https://www.wmata.com/rider-guide/stations/branch-ave.cfm?y=35
515,1,0.009133011224032,515,515,B160038,PAINT BRANCH PKWY-.20 MI S OF US1,Prince George's County,2607826094.000000000000000,B160038_S,2,1043,69,66,8,AM,1367,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,74,,180,-76.933107550000003,38.986457190000003,-76.928255534076683,38.978719629570470,1,College Park-U of MD,Maryland,Prince George's County,"Green, Yellow",1993,Y,8028,https://www.wmata.com/rider-guide/stations/college-park.cfm?y=35
516,1,0.133845702348082,516,516,B160024,CHAPEL FORGE DR-.10 MI S OF OLD CHAPEL RD,Prince George's County,2753027533.000000000000000,B160024_S,0,164,1,7,0,AM,207,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,7,,35,-76.744614459999994,38.989645299999999,-76.844556104162351,38.900615306138342,20,Largo Town Center,Maryland,Prince George's County,"Blue, Orange, Silver",2004,Y,8086,https://www.wmata.com/rider-guide/stations/largo-town-ctr.cfm?y=35
517,1,0.537826775049488,517,517,B3641,MD242-.50 MI S OF MD234,St Mary's County,4954049561.000000000000000,B3641_S,1,147,12,33,7,AM,282,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,40,,84,-76.731928109999998,38.320231120000003,-76.912229442562861,38.826935243743002,73,Branch Ave,Maryland,Prince George's County,Green,2001,Y,8045,https://www.wmata.com/rider-guide/stations/branch-ave.cfm?y=35
